s,n_comparison,cpu_burst(ns)
1,1395413,451296833
2,1395413,435517167
3,1395490,416827042
4,1395927,415469917
5,1395927,409802458
6,1413757,403196375
7,1416998,394390625
8,1416998,398585167
9,1416998,401130958
10,1416998,397672166
11,1416998,398450583
12,1478788,399742417
13,1498297,397146542
14,1498297,401693959
15,1498297,401502416
16,1498297,411901458
17,1498297,400633833
18,1498297,408788167
19,1498297,418838458
20,1498297,399203583
21,1498297,398570333
22,1498297,400796667
23,1498297,406747208
24,1624672,419813833
25,1722014,449998667
26,1722014,432546833
27,1722014,436295625
28,1722014,431258333
29,1722014,430969833
30,1722014,429080125
31,1722014,431810083
32,1722014,433718916
33,1722014,430391833
34,1722014,431423167
35,1722014,432364166
36,1722014,430409125
37,1722014,430042250
38,1722014,430980792
39,1722014,434976583
40,1722014,431925084
41,1722014,438040916
42,1722014,433904583
43,1722014,432896292
44,1722014,431097500
45,1722014,430927333
46,1722014,430220666
47,1722014,430529250
48,1809275,444636667
49,2239870,522212292
50,2239870,521592042
51,2239870,523738792
52,2239870,520346875
53,2239870,519785709
54,2239870,521217459
55,2239870,524774708
56,2239870,522546416
57,2239870,522447208
58,2239870,520156625
59,2239870,522933542
60,2239870,524165333
61,2239870,522659625
62,2239870,520388667
63,2239870,520247417
64,2239870,523182000
65,2239870,520475958
66,2239870,524796833
67,2239870,522419375
68,2239870,524935208
69,2239870,521706500
70,2239870,521553417
71,2239870,529452416
72,2239870,521889167
73,2239870,521445209
74,2239870,523689583
75,2239870,520109458
76,2239870,518894500
77,2239870,521706167
78,2239870,522267084
79,2239870,519941959
80,2239870,524481833
81,2239870,522612709
82,2239870,522194917
83,2239870,521515291
84,2239870,522773083
85,2239870,523704750
86,2239870,521029958
87,2239870,520183375
88,2239870,521144584
89,2239870,520134250
90,2239870,522884875
91,2239870,518647917
92,2239870,520211625
93,2239870,520393042
94,2239870,519951834
95,2239870,518644084
96,2239870,520091208
97,2620625,590042625
98,3363383,727246292
99,3363383,726665708
100,3363383,726402459
