n,n_comparison_insertion,cpu_burst_insertion(ns),n_comparison_merge,cpu_burst_merge(ns),percentage faster insertion(%)
2,1,1750,1,2542,31.16%
3,2,1208,2,2875,57.98%
4,5,1958,5,4042,51.56%
5,10,2791,8,5334,47.68%
6,11,2875,11,6583,56.33%
7,17,4084,14,8042,49.22%
8,19,4250,16,9500,55.26%
9,24,5375,19,10875,50.57%
10,32,6834,22,12500,45.33%
11,40,8167,29,14291,42.85%
12,47,9541,31,15541,38.61%
13,49,10167,35,17625,42.31%
14,52,10583,34,18583,43.05%
15,59,11792,43,20583,42.71%
16,78,15125,48,22958,34.12%
17,78,15292,50,24500,37.58%
18,93,18167,53,26042,30.24%
19,103,19750,58,27959,29.36%
20,123,23542,64,29417,19.97%
21,105,20209,71,31458,35.76%
22,147,27500,74,33083,16.88%
23,144,27208,78,34833,21.89%
24,155,29292,81,36250,19.19%
25,188,35042,89,39083,10.34%
26,162,30542,96,40917,25.36%
27,193,35958,95,41917,14.22%
28,268,49333,99,43708,-12.87%
29,192,35750,108,46250,22.70%
30,210,39125,114,49125,20.36%
31,326,60125,118,51000,-17.89%
32,210,40083,125,54500,26.45%
33,285,52833,121,53583,1.40%
34,333,62125,136,55958,-11.02%
35,393,72709,142,57667,-26.08%
36,368,68666,145,60542,-13.42%
37,315,60250,145,63083,4.49%
38,441,86708,155,66541,-30.31%
39,443,86791,154,68208,-27.24%
40,354,69667,170,72208,3.52%
41,446,87333,171,73125,-19.43%
42,471,92209,175,73084,-26.17%
43,457,92375,185,90958,-1.56%
44,558,105792,188,78792,-34.27%
45,555,105959,196,80042,-32.38%
46,557,106083,192,80291,-32.12%
47,576,109958,207,85292,-28.92%
48,527,103833,214,89000,-16.67%
49,634,163541,214,96083,-70.21%
50,654,138125,225,99208,-39.23%
51,755,148917,228,95708,-55.60%
52,776,164250,233,97500,-68.46%
53,562,111542,240,100333,-11.17%
54,815,160167,252,100959,-58.65%
55,687,130500,246,103541,-26.04%
56,747,146000,260,105833,-37.95%
57,703,138333,263,107875,-28.23%
58,908,177750,267,109833,-61.84%
59,905,177292,273,111708,-58.71%
60,944,184250,274,113416,-62.46%
61,860,167542,290,115042,-45.64%
62,910,173125,295,116042,-49.19%
63,1080,204583,299,117625,-73.93%
64,1049,198792,314,122834,-61.84%
65,1019,193292,314,124458,-55.31%
66,1214,231625,321,134584,-72.10%
67,1095,210875,327,128458,-64.16%
68,1167,278041,338,138541,-100.69%
69,1341,262042,335,140500,-86.51%
70,1236,238583,344,158959,-50.09%
71,1451,335375,354,159459,-110.32%
72,1266,286916,353,147666,-94.30%
73,1479,295792,357,144334,-104.94%
74,1455,297084,376,144625,-105.42%
75,1438,282083,382,148917,-89.42%
76,1459,276250,379,151375,-82.49%
77,1655,324875,384,153167,-112.11%
78,1559,296125,389,155667,-90.23%
79,1588,342959,402,160583,-113.57%
80,1888,363334,396,158250,-129.59%
81,1680,346458,416,163542,-111.85%
82,1908,372625,419,204125,-82.55%
83,1984,390584,427,170084,-129.64%
84,1878,357500,430,164833,-116.89%
85,1869,368083,440,173334,-112.35%
86,2198,421916,446,169875,-148.37%
87,1768,337709,466,178334,-89.37%
88,2048,388250,465,174458,-122.55%
89,2184,447500,459,177000,-152.82%
90,2091,402167,472,199750,-101.34%
91,1814,346042,469,180167,-92.07%
92,2166,411584,485,183875,-123.84%
93,1950,368709,493,200916,-83.51%
94,1959,385167,502,193583,-98.97%
95,2080,401458,513,230041,-74.52%
96,2844,541042,516,191083,-183.15%
97,2638,493000,520,195209,-152.55%
98,2491,454959,522,197167,-130.75%
99,2343,433917,530,199125,-117.91%
100,2601,514541,556,203625,-152.69%
