|V|,Time_elapsed(ns)
200,572100
201,609400
202,553700
203,573500
204,568100
205,577500
206,579300
207,576800
208,585900
209,587500
210,577700
211,611100
212,600400
213,610700
214,612000
215,620200
216,612000
217,650300
218,628300
219,628300
220,622700
221,638800
222,725600
223,648500
224,655000
225,653800
226,660600
227,649600
228,738100
229,639600
230,667300
231,671700
232,671800
233,721800
234,682300
235,689700
236,671600
237,687200
238,698900
239,689800
240,730200
241,786500
242,719600
243,707400
244,714100
245,723400
246,815000
247,732200
248,737600
249,898100
250,734200
251,932400
252,738300
253,754600
254,763000
255,760900
256,901400
257,897600
258,853400
259,789200
260,816800
261,787300
262,800400
263,900200
264,811000
265,815800
266,831400
267,820300
268,817500
269,829500
270,831000
271,858400
272,839900
273,854900
274,877600
275,934400
276,873500
277,848100
278,854500
279,864100
280,902300
281,882600
282,936100
283,906900
284,901100
285,907200
286,871800
287,895100
288,890400
289,922900
290,915500
291,912500
292,1064800
293,955500
294,940900
295,961900
296,956100
297,982400
298,957500
299,945900
300,959400
301,964400
302,950700
303,982800
304,973500
305,1008900
306,1008800
307,1007600
308,997700
309,1012100
310,1255300
311,1019800
312,987300
313,1036100
314,1041000
315,1007500
316,1052500
317,1012100
318,1024700
319,1055000
320,1053200
321,1058200
322,1082300
323,1084400
324,1077800
325,1101300
326,1081100
327,1157900
328,1087900
329,1177400
330,1096700
331,1084200
332,1114100
333,1123200
334,1111900
335,1112000
336,1150200
337,1132200
338,1155800
339,1137000
340,1137300
341,1148500
342,1162400
343,1169400
344,1227800
345,1179500
346,1250100
347,1170800
348,1273000
349,1183900
350,1282900
351,1201000
352,1323200
353,1241200
354,1248100
355,1213000
356,1238400
357,1234500
358,1254700
359,1231800
360,1258700
361,1259300
362,1252600
363,1262600
364,1253100
365,1279400
366,1266400
367,1276100
368,1317200
369,1302000
370,1328000
371,1300700
372,1319600
373,1294500
374,1322700
375,1334400
376,1337700
377,1329800
378,1348600
379,1337300
380,1349600
381,1431600
382,1541100
383,1376200
384,1454000
385,1374800
386,1461500
387,1410500
388,1406500
389,1413400
390,1407100
391,1407400
392,1417800
393,1414700
394,1432300
395,1432100
396,1440800
397,1461200
398,1466000
399,1466800
400,1455400
401,1518200
402,1479600
403,1492900
404,1472300
405,1520700
406,1618300
407,1511700
408,1515100
409,1524600
410,1515700
411,1550300
412,1593600
413,1542500
414,1615100
415,1535900
416,1603300
417,1592700
418,1566400
419,1579200
420,1584400
421,1695700
422,1575500
423,1668400
424,1603700
425,1634300
426,1621400
427,1637700
428,1685100
429,1616900
430,1649300
431,1626500
432,1644900
433,1625400
434,1651500
435,1662500
436,1662300
437,1713500
438,1667100
439,1735600
440,1663100
441,1700200
442,1695800
443,1739000
444,1769700
445,1723300
446,1704900
447,1727300
448,1744700
449,1763000
450,1763100
451,1771300
452,1759600
453,1750900
454,1771900
455,1772700
456,1807100
457,1799700
458,1809200
459,1820400
460,1802900
461,1848900
462,1835300
463,1844900
464,1844700
465,1850500
466,1858600
467,1867000
468,1899600
469,1850500
470,1853100
471,1916400
472,1878800
473,1893700
474,1883500
475,1924600
476,1909900
477,1919500
478,1912000
479,1942300
480,1926700
481,1985700
482,1948000
483,1954100
484,1990900
485,1964200
486,1983700
487,1963700
488,2742700
489,1975000
490,2023800
491,2018200
492,2032500
493,2011200
494,2017000
495,2068300
496,2494000
497,2023100
498,2009200
499,2028700
500,2022400
501,2050200
502,2076000
503,2049200
504,2073500
505,2084700
506,2081000
507,2088500
508,2323600
509,2122100
510,2106400
511,2119400
512,2405600
513,2174000
514,2160400
515,2226500
516,2188200
517,2186800
518,2233000
519,2170200
520,2201300
521,2282600
522,2193800
523,2198700
524,2308000
525,2197000
526,2245400
527,2302200
528,2268400
529,2241700
530,2379700
531,2388500
532,2237100
533,2285400
534,2343300
535,2290000
536,2286000
537,2393000
538,2320200
539,2363900
540,2385700
541,2316200
542,2361700
543,2441900
544,2444400
545,2346700
546,2401700
547,2593100
548,2370400
549,2424300
550,2471500
551,2494300
552,2391500
553,2440200
554,2492500
555,2411300
556,2442200
557,2560900
558,2570700
559,2496900
560,2500600
561,2543900
562,2766600
563,2524800
564,2473100
565,2493100
566,2490200
567,2521200
568,2547900
569,2523500
570,2521300
571,2523600
572,2538500
573,2569800
574,2548700
575,2543300
576,2792200
577,2606000
578,2570100
579,2587700
580,2593600
581,2588000
582,2615800
583,2613200
584,2640300
585,2619700
586,2657000
587,2676800
588,2653500
589,2652500
590,2692800
591,2767000
592,2711000
593,2679300
594,2723600
595,2765000
596,2732400
597,2713900
598,2750500
599,2769100
600,2819200
601,2779000
602,2747200
603,2808700
604,3050800
605,2800200
606,2802900
607,2793600
608,2921600
609,2851800
610,2776700
611,3075100
612,2857200
613,2848600
614,2849100
615,2866800
616,2872700
617,2911000
618,2917000
619,2939700
620,2905400
621,2930500
622,2938500
623,2933100
624,2930500
625,2946700
626,2952500
627,2986100
628,3026100
629,3021500
630,3000500
631,2987600
632,3026400
633,3034000
634,3023000
635,3024000
636,3030600
637,3092700
638,3089800
639,3088300
640,3045100
641,3073700
642,3081100
643,3059200
644,3138500
645,3116400
646,3099000
647,3096800
648,3123100
649,3156600
650,3204200
651,3179700
652,3165900
653,3189900
654,3174000
655,3255500
656,3196900
657,3157500
658,3255000
659,3202400
660,3412600
661,3237400
662,3174200
663,3207300
664,3233300
665,3245300
666,3249800
667,3246400
668,3266000
669,3338100
670,3266900
671,3323400
672,3545300
673,3322000
674,3316100
675,3369400
676,3358300
677,3400000
678,3688500
679,3365700
680,3357300
681,3380400
682,3408900
683,3404500
684,3682000
685,3439900
686,3405200
687,3553700
688,3447300
689,3429800
690,3414200
691,3455700
692,3555100
693,3535800
694,3537700
695,3544600
696,3543000
697,3564900
698,3546100
699,3546500
700,3546200
701,3575200
702,3676300
703,3596900
704,3579500
705,3546600
706,3608100
707,3625800
708,3607700
709,3628000
710,3648100
711,3615100
712,3629400
713,3880900
714,3628500
715,3699000
716,3786500
717,3810800
718,3773400
719,3721700
720,3763200
721,3765300
722,3773600
723,3824200
724,3793000
725,5253100
726,3764400
727,3822300
728,3747900
729,3827800
730,3744500
731,3769700
732,3963900
733,3850200
734,3764300
735,3900200
736,3848500
737,3857000
738,3888700
739,3849700
740,3941400
741,4843900
742,3892400
743,3943000
744,3943600
745,3962600
746,4217300
747,4053200
748,3922600
749,4805800
750,4000700
751,3976700
752,3982500
753,3981400
754,4035400
755,4002900
756,4027200
757,4048500
758,4071600
759,4037100
760,4044700
761,4057400
762,4190700
763,4076000
764,4302200
765,4114500
766,4123700
767,4557800
768,4116400
769,4184800
770,4099600
771,4140400
772,4184800
773,4202900
774,4145500
775,4280900
776,4128700
777,4162300
778,4224200
779,4201200
780,4365000
781,4228500
782,4281700
783,4325300
784,4300700
785,4345100
786,4311100
787,4329400
788,4333100
789,4325400
790,4344400
791,4354600
792,4383800
793,4406800
794,4405600
795,4418000
796,4489000
797,4414000
798,4462100
799,4420200
800,4456600
801,4437000
802,4406900
803,4531400
804,4501200
805,4648800
806,4496200
807,4602500
808,4493900
809,4457100
810,4627600
811,4587700
812,4557900
813,4592200
814,4612100
815,4965800
816,4575100
817,4587700
818,4573900
819,4570200
820,4688300
821,4607900
822,4626900
823,4720300
824,4648200
825,4763700
826,4688400
827,4754700
828,4721300
829,4785000
830,4871500
831,4813800
832,4857700
833,4759700
834,4713600
835,4823100
836,4828600
837,4844900
838,4842400
839,4821200
840,4886000
841,4780000
842,4861500
843,4922400
844,4808800
845,4912400
846,4963000
847,4929800
848,4932800
849,4905900
850,4932200
851,4956500
852,4988500
853,4924100
854,4978700
855,4970200
856,5154800
857,5100300
858,5135000
859,5143500
860,5190300
861,5017500
862,5133800
863,5193900
864,5229900
865,5176300
866,5143200
867,5131900
868,5159700
869,5643900
870,5172600
871,5375000
872,5026200
873,5140700
874,5120100
875,5583900
876,5130900
877,5154500
878,5200300
879,5241200
880,5201700
881,5238400
882,5261500
883,5274600
884,5270500
885,5188900
886,5345100
887,5267100
888,5352300
889,5266700
890,5342800
891,5323500
892,5348600
893,5333200
894,5369100
895,5361300
896,5319100
897,5341400
898,5433000
899,5385900
900,5504800
901,5581700
902,5590100
903,5922500
904,5444400
905,5513100
906,5510200
907,5515800
908,5503900
909,5564800
910,5564600
911,5526200
912,5549800
913,5634100
914,5605600
915,5763400
916,5687300
917,5710800
918,5741000
919,5810400
920,5673900
921,5737200
922,5684800
923,5693400
924,6144600
925,5659600
926,6210200
927,5748700
928,6249500
929,5694600
930,5869600
931,5694800
932,5772300
933,5673600
934,5800800
935,5758100
936,5963600
937,5941200
938,6042100
939,5846400
940,5887500
941,5756600
942,6034700
943,5871100
944,6280200
945,5963200
946,6084900
947,5934500
948,6043300
949,5969200
950,6008500
951,5987200
952,6047700
953,6032000
954,6071900
955,5964600
956,6015900
957,6054600
958,6047100
959,6086800
960,6166100
961,6047100
962,6131100
963,6125700
964,6143900
965,6164300
966,6187200
967,6092100
968,6271200
969,6175600
970,6246400
971,6276600
972,6818500
973,6109000
974,6092500
975,6174700
976,6212500
977,6199400
978,6240900
979,6226900
980,6307200
981,6305500
982,6227100
983,6525000
984,6348400
985,6314700
986,6352000
987,6777400
988,6303100
989,6341400
990,6366100
991,6420500
992,6417000
993,6679100
994,6509700
995,6427400
996,6749900
997,6522800
998,6475200
999,6477300
1000,6644200
