|V|,Time_elapsed(ns)
200,441100
201,458000
202,445000
203,468300
204,454500
205,454600
206,468100
207,470200
208,477300
209,465000
210,460600
211,479000
212,509200
213,484100
214,483400
215,502000
216,480100
217,492600
218,497300
219,495300
220,493800
221,499600
222,501900
223,536100
224,517600
225,521600
226,495200
227,510400
228,506600
229,500900
230,515500
231,521900
232,518900
233,512200
234,552800
235,537400
236,524900
237,535900
238,543900
239,529800
240,555000
241,542600
242,591900
243,541200
244,562300
245,561000
246,563900
247,572000
248,553800
249,603000
250,553300
251,590300
252,561600
253,595700
254,571500
255,618800
256,570100
257,611400
258,584500
259,611800
260,608900
261,595000
262,609500
263,627200
264,612300
265,620600
266,608800
267,618400
268,652300
269,617200
270,613400
271,628100
272,625900
273,661700
274,640400
275,626800
276,658600
277,629600
278,672800
279,641300
280,697400
281,644500
282,680500
283,689100
284,653200
285,654400
286,677300
287,668500
288,688300
289,684600
290,684100
291,673400
292,680400
293,720900
294,670100
295,677200
296,703700
297,719400
298,719600
299,699300
300,713800
301,717600
302,702700
303,753700
304,713300
305,698300
306,745300
307,726400
308,737400
309,751900
310,738600
311,754800
312,737900
313,765300
314,771700
315,783100
316,754500
317,735500
318,744400
319,763400
320,761700
321,775000
322,789700
323,771400
324,786100
325,786800
326,785500
327,810500
328,789400
329,784800
330,814400
331,790100
332,803300
333,824000
334,824400
335,795200
336,815500
337,824000
338,836300
339,819200
340,802800
341,851100
342,844800
343,847500
344,824900
345,860400
346,847100
347,846400
348,878100
349,829500
350,860000
351,852100
352,855100
353,869200
354,851200
355,872500
356,895300
357,922100
358,869200
359,905600
360,885500
361,878700
362,899200
363,920300
364,867900
365,908200
366,919700
367,907900
368,922300
369,924500
370,923900
371,933700
372,923000
373,901800
374,929600
375,990500
376,924700
377,987900
378,939800
379,942200
380,935500
381,952300
382,953700
383,928100
384,975800
385,960500
386,983600
387,990700
388,1011700
389,989300
390,997200
391,967100
392,985600
393,983000
394,1016900
395,963700
396,995200
397,1000800
398,1007700
399,1042300
400,1005900
401,1071100
402,1020000
403,1041100
404,1028900
405,1067100
406,1036800
407,1058000
408,1050900
409,1059400
410,1034700
411,1059200
412,1046100
413,1059900
414,1053000
415,1049000
416,1163400
417,1076400
418,1136800
419,1079700
420,1126700
421,1089700
422,1121200
423,1091600
424,1121000
425,1092100
426,1122600
427,1131100
428,1111400
429,1112700
430,1084400
431,1100600
432,1110300
433,1117000
434,1135800
435,1138200
436,1106300
437,1119700
438,1133600
439,1162900
440,1116600
441,1133600
442,1130500
443,1175400
444,1159100
445,1165300
446,1145200
447,1141100
448,1167600
449,1177900
450,1190000
451,1187700
452,1155500
453,1168200
454,1188700
455,1176400
456,1192900
457,1217600
458,1202000
459,1213200
460,1195400
461,1223900
462,1231700
463,1216000
464,1230700
465,1213700
466,1206000
467,1240800
468,1250700
469,1255700
470,1267000
471,1269300
472,1302800
473,1220900
474,1303200
475,1257400
476,1284400
477,1289700
478,1300000
479,1266200
480,1304100
481,1285600
482,1290400
483,1296400
484,1473300
485,1270600
486,1280100
487,1288500
488,1266200
489,1469000
490,1292000
491,1339300
492,1310900
493,1353400
494,1313900
495,1373200
496,1347100
497,1292600
498,1352400
499,1316100
500,1335600
501,1326400
502,1335700
503,1343000
504,1612400
505,1351100
506,1444100
507,1311800
508,1476900
509,1486000
510,1380200
511,1397100
512,1376000
513,1399500
514,1347600
515,1406900
516,1400400
517,1398000
518,1382500
519,1405500
520,1425500
521,1416900
522,1444200
523,1443800
524,1425400
525,1408800
526,1399500
527,1422400
528,1673200
529,1435400
530,1435400
531,1470200
532,1465100
533,1445900
534,1488700
535,1465400
536,1434300
537,1487300
538,1491400
539,1504000
540,1443800
541,1488900
542,1488000
543,1502500
544,1536100
545,1448200
546,1573200
547,1954700
548,1488800
549,1500800
550,1495700
551,1511900
552,1517100
553,1543500
554,1526900
555,1511000
556,1562700
557,1571400
558,1579000
559,1560700
560,1567900
561,1539500
562,1577800
563,1604600
564,1596700
565,1607900
566,1566300
567,1594000
568,1610900
569,1590800
570,1874000
571,1601700
572,1717300
573,1638000
574,1838800
575,1780400
576,1602800
577,1657400
578,1638200
579,1617700
580,1743800
581,1618300
582,1639200
583,1741800
584,1654600
585,1732600
586,1707100
587,1642000
588,1684300
589,1649600
590,1931300
591,1660500
592,1692800
593,1779900
594,1711300
595,1816400
596,1727200
597,1700800
598,1819000
599,1707100
600,1769000
601,1735100
602,1693500
603,1808800
604,1715700
605,1743800
606,1835000
607,1713600
608,1842400
609,1751700
610,1740200
611,1800800
612,1750600
613,1785300
614,1746700
615,1740800
616,1832700
617,1820800
618,1780500
619,1925000
620,1772500
621,1813900
622,1875300
623,1848500
624,1836000
625,1805100
626,1959900
627,1794700
628,1807800
629,1811300
630,1767200
631,1777100
632,1802600
633,1865000
634,1886300
635,1811500
636,1857200
637,1844100
638,1920900
639,1843700
640,1844300
641,1840900
642,1908600
643,1823200
644,1895200
645,1866200
646,1871400
647,1901100
648,1919600
649,1903200
650,1924700
651,1899600
652,1921000
653,1914400
654,1915000
655,1952100
656,1934200
657,1898900
658,1938100
659,2096200
660,1956500
661,1918800
662,1922500
663,1994200
664,1962200
665,1975500
666,2027200
667,1999800
668,1942300
669,2046200
670,1973300
671,2063200
672,1989800
673,1969700
674,2017600
675,1980100
676,1996400
677,2049300
678,1993600
679,2112900
680,2042300
681,2035600
682,2046600
683,2055600
684,2049400
685,2030500
686,2084700
687,2056500
688,2071100
689,2086700
690,2070100
691,2097500
692,2108000
693,2097400
694,2135900
695,2075700
696,2137100
697,2126000
698,2114000
699,2188900
700,2114900
701,2105500
702,2172500
703,2100900
704,2121400
705,2117800
706,2083500
707,2134500
708,2218200
709,2131400
710,2164900
711,2217100
712,2216500
713,2139000
714,2236200
715,2210700
716,2135000
717,2202800
718,2207400
719,2165900
720,2208200
721,2185700
722,2239200
723,2258600
724,2165300
725,2214300
726,2249100
727,2207600
728,2211400
729,2249400
730,2210000
731,2328700
732,2314900
733,2219700
734,2191000
735,2288700
736,2197600
737,2338600
738,2219600
739,2256500
740,2251900
741,2265500
742,2298500
743,2322300
744,2278900
745,2279000
746,2241900
747,2272900
748,2353300
749,2301100
750,2300900
751,2306300
752,2300200
753,2368600
754,2307700
755,2373900
756,2355900
757,2363100
758,2381500
759,2306700
760,2409200
761,2851600
762,2488200
763,2370500
764,2471200
765,2374700
766,2367900
767,2421100
