|E|,Time_elapsed(ns)
99,135400
100,127200
101,126100
102,129200
103,131400
104,125100
105,121500
106,129700
107,125100
108,118900
109,127600
110,124400
111,124200
112,122100
113,122400
114,117200
115,121100
116,119400
117,126600
118,119800
119,129300
120,116700
121,118400
122,122900
123,115300
124,117100
125,118600
126,118800
127,114900
128,116600
129,121400
130,119000
131,116300
132,122600
133,116600
134,118500
135,116700
136,121400
137,116600
138,121100
139,121000
140,123600
141,115600
142,113100
143,115200
144,113500
145,114500
146,116900
147,116200
148,119100
149,117600
150,121700
151,213000
152,118200
153,115200
154,111800
155,115900
156,115500
157,117000
158,111300
159,114100
160,117600
161,117100
162,113700
163,119200
164,115500
165,109500
166,117200
167,123400
168,121900
169,111900
170,118600
171,114100
172,119700
173,114300
174,108400
175,112000
176,112700
177,119200
178,110600
179,118200
180,124000
181,221200
182,115000
183,114500
184,116700
185,115300
186,112500
187,117300
188,118500
189,121300
190,115900
191,113300
192,110800
193,120200
194,116300
195,116200
196,124700
197,116600
198,116700
199,115700
200,120300
201,120400
202,116500
203,114200
204,113900
205,119100
206,114900
207,113000
208,118900
209,141700
210,119900
211,119400
212,113800
213,112400
214,121100
215,118800
216,111700
217,117900
218,115200
219,118500
220,117100
221,118400
222,114400
223,122400
224,118900
225,115500
226,116600
227,116400
228,120700
229,122200
230,116500
231,114000
232,116300
233,120500
234,120600
235,120300
236,117500
237,114200
238,118100
239,119300
240,117400
241,120300
242,116600
243,121800
244,112500
245,119800
246,119700
247,117400
248,118800
249,119900
250,121100
251,127000
252,115900
253,118200
254,122600
255,123700
256,115300
257,121400
258,121400
259,115000
260,123100
261,149000
262,119600
263,117900
264,124700
265,118400
266,121800
267,116200
268,117700
269,115300
270,122700
271,119000
272,120800
273,121700
274,114700
275,117000
276,115500
277,118600
278,118600
279,128200
280,115300
281,118900
282,122800
283,122000
284,124500
285,124500
286,119000
287,117400
288,119900
289,117100
290,124200
291,118600
292,117800
293,122500
294,121400
295,117400
296,116900
297,121100
298,120700
299,119800
300,117700
301,118500
302,126600
303,119600
304,121500
305,121100
306,121600
307,121900
308,119600
309,142800
310,118400
311,122400
312,123500
313,128200
314,118500
315,120800
316,122200
317,125800
318,130000
319,118900
320,120100
321,121700
322,120600
323,120400
324,122200
325,118700
326,125200
327,124900
328,136300
329,158700
330,156600
331,158700
332,153600
333,152800
334,143200
335,123700
336,126700
337,125400
338,123200
339,121800
340,120800
341,123100
342,122700
343,120300
344,126600
345,123000
346,125800
347,120500
348,125500
349,124700
350,122900
351,124600
352,227100
353,122800
354,122500
355,123100
356,121000
357,121300
358,126900
359,124400
360,128500
361,124100
362,124800
363,123100
364,126700
365,123900
366,119800
367,120100
368,124300
369,126400
370,123700
371,125600
372,125200
373,123500
374,137700
375,122600
376,128100
377,125100
378,124900
379,121900
380,128300
381,125300
382,125600
383,128700
384,126700
385,122000
386,122400
387,123900
388,121900
389,123400
390,128000
391,129700
392,129800
393,119500
394,223000
395,124300
396,124400
397,123900
398,127600
399,130100
400,126700
401,129500
402,125300
403,124600
404,120200
405,125100
406,125000
407,124400
408,133200
409,129800
410,128400
411,124100
412,123200
413,124900
414,231500
415,126000
416,128000
417,131900
418,124000
419,127500
420,126000
421,123000
422,127400
423,128900
424,127100
425,128300
426,123500
427,125900
428,134200
429,125000
430,125700
431,131300
432,125700
433,132600
434,129400
435,131300
436,125400
437,130100
438,125900
439,128900
440,123800
441,130900
442,127300
443,126200
444,130100
445,127200
446,132400
447,126300
448,130000
449,131000
450,125100
451,126700
452,229900
453,124300
454,129700
455,129800
456,128800
457,126500
458,127700
459,124000
460,128500
461,130900
462,120500
463,131200
464,128500
465,127000
466,130300
467,129800
468,129600
469,134000
470,129500
471,234100
472,125500
473,127900
474,126400
475,125900
476,135000
477,129400
478,121400
479,126700
480,131400
481,128400
482,130500
483,126600
484,135900
485,146000
486,128500
487,134600
488,131200
489,239700
490,126500
491,129700
492,125500
493,129900
494,132000
495,131400
496,128600
497,128800
498,129800
499,132200
500,129600
501,128500
502,131100
503,131000
504,142100
505,129300
506,128200
507,235600
508,165700
509,131800
510,134700
511,128600
512,134900
513,134200
514,138300
515,131400
516,128900
517,130700
518,134700
519,134600
520,136800
521,130500
522,133500
523,136700
524,126400
525,137600
526,131900
527,251900
528,136400
529,133800
530,132100
531,127600
532,133300
533,132700
534,129800
535,136900
536,135200
537,130100
538,133500
539,129500
540,131500
541,128900
542,137800
543,134000
544,130700
545,135200
546,133800
547,132200
548,140700
549,132900
550,136100
551,137900
552,135500
553,140400
554,153000
555,129000
556,137700
557,141500
558,138200
559,142300
560,137000
561,134000
562,134200
563,136300
564,128400
565,135200
566,135800
567,134200
568,128700
569,129100
570,133800
571,135200
572,128600
573,136300
574,144900
575,239200
576,155900
577,145300
578,135200
579,133800
580,134900
581,132600
582,133400
583,138500
584,136100
585,141600
586,139000
587,136700
588,129900
589,135300
590,134200
591,142200
592,144600
593,136500
594,132800
595,138200
596,131800
597,142800
598,135200
599,135700
600,138100
601,135800
602,134200
603,130900
604,139400
605,139000
606,132300
607,135300
608,137800
609,136800
610,136100
611,141500
612,137000
613,138400
614,137700
615,135100
616,135700
617,135000
618,139200
619,139500
620,134800
621,133300
622,139000
623,235400
624,137700
625,139100
626,138800
627,137000
628,138900
629,135300
630,136800
631,137800
632,140500
633,136800
634,142000
635,137600
636,138000
637,136900
638,142200
639,138000
640,134500
641,138400
642,134900
643,147100
644,139600
645,138000
646,144000
647,132500
648,138600
649,137000
650,138100
651,131200
652,139600
653,137800
654,237400
655,135200
656,134000
657,137100
658,137600
659,141000
660,134900
661,135300
662,139400
663,146900
664,142500
665,143300
666,136600
667,140600
668,137600
669,238900
670,140300
671,140600
672,145900
673,136400
674,139000
675,137300
676,141900
677,138900
678,139800
679,139700
680,140200
681,138900
682,145500
683,141000
684,135300
685,131300
686,144400
687,140000
688,146300
689,139000
690,144000
691,141600
692,138200
693,143200
694,140600
695,137700
696,136700
697,141400
698,142200
699,142200
700,141600
701,141500
702,149500
703,141700
704,135400
705,141300
706,138300
707,148000
708,139800
709,145500
710,142600
711,147000
712,142400
713,135700
714,141200
715,143800
716,140700
717,143900
718,142100
719,141900
720,144000
721,147200
722,145000
723,134000
724,143300
725,144100
726,135500
727,146600
728,234000
729,150300
730,146600
731,142500
732,142100
733,145300
734,140100
735,138300
736,145100
737,193800
738,185900
739,142600
740,138300
741,142800
742,146300
743,142500
744,140800
745,148900
746,144200
747,142200
748,146000
749,143600
750,138600
751,143300
752,148100
753,142700
754,144300
755,142100
756,144500
757,140200
758,142100
759,142200
760,150200
761,148300
762,143400
763,147600
764,145800
765,146800
766,141500
767,144000
768,139200
769,141200
770,150700
771,148500
772,148000
773,170100
774,181600
775,184100
776,158900
777,149500
778,157000
779,182900
780,177400
781,144400
782,144400
783,148800
784,142700
785,141200
786,140500
787,143300
788,140000
789,138000
790,145100
791,146900
792,142300
793,144700
794,147900
795,144000
796,140100
797,149000
798,146100
799,143100
800,142400
801,147700
802,139600
803,143600
804,141500
