|E|,Time_elapsed(ns)
99,50900
100,50700
101,48400
102,52200
103,46500
104,53600
105,56400
106,50100
107,52100
108,54800
109,60900
110,54700
111,53500
112,54200
113,55700
114,58500
115,54800
116,54600
117,57400
118,57700
119,60600
120,54900
121,55400
122,57200
123,57700
124,56200
125,56800
126,57300
127,58900
128,57900
129,69000
130,65000
131,55700
132,57700
133,57400
134,57400
135,56400
136,57800
137,59900
138,62500
139,59000
140,57800
141,60800
142,65100
143,59900
144,61500
145,59600
146,61400
147,60200
148,58300
149,59300
150,60300
151,59900
152,61600
153,64300
154,59600
155,60800
156,60300
157,61900
158,68200
159,85400
160,69100
161,59600
162,62700
163,60600
164,61800
165,64200
166,63000
167,58900
168,62600
169,62000
170,67600
171,61700
172,65500
173,63700
174,62300
175,64600
176,64000
177,64800
178,62600
179,66200
180,64300
181,67900
182,62800
183,62800
184,63500
185,63300
186,65100
187,64900
188,62500
189,63300
190,64600
191,66600
192,62500
193,67300
194,64900
195,65200
196,78000
197,66400
198,65800
199,65300
200,63200
201,65400
202,65700
203,68400
204,65200
205,66400
206,66200
207,64500
208,66800
209,75500
210,67400
211,66600
212,66000
213,67300
214,66000
215,67200
216,67100
217,66900
218,66000
219,66700
220,72500
221,69800
222,64700
223,67200
224,68400
225,70000
226,66900
227,68400
228,70000
229,66700
230,67500
231,68600
232,73800
233,68600
234,70700
235,68200
236,69900
237,70400
238,71500
239,69300
240,67800
241,71900
242,71000
243,73700
244,68900
245,70100
246,70500
247,70400
248,69900
249,72400
250,70700
251,70300
252,89100
253,71900
254,70500
255,70400
256,70300
257,73200
258,71600
259,73900
260,73600
261,70300
262,69600
263,73800
264,73200
265,70600
266,88700
267,71400
268,74500
269,71500
270,70100
271,69600
272,72100
273,71500
274,71300
275,74000
276,74300
277,85600
278,75600
279,179000
280,74100
281,75000
282,71300
283,74800
284,75300
285,74100
286,74500
287,76700
288,72000
289,87900
290,76600
291,73800
292,70200
293,75600
294,71600
295,73600
296,74900
297,75400
298,73600
299,74900
300,87300
301,77600
302,75900
303,74300
304,77100
305,77600
306,79800
307,74900
308,76000
309,76700
310,78100
311,77600
312,79600
313,74700
314,71800
315,75100
316,76900
317,76200
318,76700
319,77500
320,73600
321,78000
322,77900
323,90200
324,78500
325,77800
326,77500
327,77700
328,101600
329,78700
330,78400
331,78800
332,82700
333,79800
334,96600
335,79200
336,85200
337,76700
338,78400
339,78200
340,81700
341,79700
342,79600
343,79300
344,90200
345,79300
346,89800
347,79100
348,82800
349,78100
350,79500
351,79100
352,77900
353,81000
354,79000
355,78600
356,78700
357,99100
358,79200
359,78200
360,82300
361,81300
362,80900
363,78300
364,80000
365,81000
366,81200
367,79700
368,81400
369,84200
370,81400
371,78600
372,79500
373,81300
374,82500
375,79900
376,81900
377,84200
378,82900
379,80000
380,96200
381,81600
382,80200
383,81000
384,184500
385,80500
386,80100
387,78300
388,81000
389,85200
390,83700
391,96600
392,80900
393,80700
394,80200
395,82900
396,84600
397,82500
398,84600
399,83400
400,81300
401,83000
402,81600
403,95700
404,80900
405,82500
406,84000
407,82800
408,84300
409,84500
410,85300
411,84100
412,82100
413,82500
414,101500
415,84400
416,85400
417,89700
418,81600
419,85300
420,83600
421,83100
422,85300
423,81800
424,85600
425,86600
426,84400
427,80800
428,89100
429,85000
430,82900
431,86500
432,84800
433,88000
434,87900
435,88700
436,83200
437,101900
438,85700
439,86700
440,84900
441,86900
442,86300
443,87100
444,87600
445,84400
446,85300
447,86900
448,96800
449,84800
450,86500
451,84100
452,84800
453,85000
454,88700
455,88700
456,86400
457,92500
458,89700
459,86700
460,107200
461,87000
462,88100
463,88200
464,88300
465,87800
466,84800
467,86100
468,89600
469,89600
470,87800
471,100100
472,87400
473,90100
474,101800
475,89200
476,93600
477,88400
478,87600
479,86000
480,89800
481,83600
482,91800
483,91300
484,89900
485,91400
486,86400
487,87300
488,90200
489,89400
490,90300
491,86000
492,91200
493,91400
494,104500
495,92900
496,92400
497,89500
498,89000
499,87100
500,88200
501,89200
502,92800
503,91800
504,92600
505,101900
506,90800
507,87900
508,86000
509,106500
510,89800
511,89600
512,90800
513,89700
514,90300
515,111600
516,90500
517,105800
518,91900
519,92200
520,90800
521,94000
522,93900
523,93100
524,89200
525,92600
526,93800
527,92700
528,106500
529,94400
530,92000
531,90000
532,93200
533,92600
534,90500
535,114600
536,92800
537,91400
538,89700
539,88900
540,94700
541,94400
542,94000
543,91800
544,90400
545,91400
546,95000
547,93400
548,97200
549,95300
550,97600
551,107200
552,94100
553,98100
554,103200
555,95600
556,94900
557,95800
558,95300
559,94800
560,93600
561,120100
562,140500
563,99100
564,94100
565,96500
566,95800
567,94000
568,93500
569,96600
570,95900
571,92500
572,92700
573,94800
574,152900
575,99300
576,93700
577,93400
578,97800
579,98800
580,96000
581,96400
582,95800
583,95900
584,99100
585,114600
586,94500
587,95200
588,92100
589,95300
590,92400
591,97200
592,97400
593,211200
594,95800
595,97600
596,108500
597,98200
598,93500
599,96100
600,96700
601,99100
602,96200
603,95100
604,96500
605,95000
606,95900
607,97900
608,142900
609,121000
610,111900
611,97500
612,91400
613,101200
614,99600
615,97200
616,99600
617,94800
618,358600
619,111600
620,91700
621,98100
622,98900
623,97900
624,186000
625,102100
626,99500
627,95400
628,98800
629,100700
630,98300
631,98700
632,99800
633,96200
634,103100
635,99000
636,95200
637,99100
638,96900
639,97500
640,97300
641,186800
642,114500
643,106400
644,98900
645,98600
646,99700
647,97500
648,96100
649,96200
650,97900
651,96800
652,96700
653,114600
654,100300
655,97300
656,96400
657,95700
658,185400
659,97900
660,100500
661,100500
662,97400
663,102100
664,100700
665,105000
666,95600
667,100300
668,99900
669,100400
670,101900
671,100200
672,98300
673,98700
674,101100
675,185100
676,119800
677,100800
678,101600
679,100900
680,101100
681,101300
682,99900
683,103900
684,96600
685,97900
686,99900
687,115800
688,102500
689,100200
690,102000
691,103300
692,99600
693,102800
694,100900
695,98300
696,104700
697,100900
698,102600
699,114400
700,102300
701,106600
702,102700
703,101500
704,101200
705,102000
706,101600
707,101800
708,103700
709,109600
710,118300
711,106800
712,101800
713,101500
714,101200
715,103500
716,104000
717,105700
718,100400
719,101300
720,104600
721,114500
722,103800
723,102200
724,103000
725,104500
726,98800
727,100500
728,103000
729,103000
730,108200
731,105900
732,104300
733,114400
734,102100
735,100600
736,101500
737,103900
738,109600
739,192200
740,104800
741,100100
742,104500
743,101700
744,116000
745,100500
746,103800
747,105600
748,110300
749,101700
750,102400
751,106700
752,106900
753,108100
754,105300
755,108000
756,109300
757,114900
758,119200
759,104300
760,103600
761,106900
762,103800
763,106500
764,101100
765,107200
766,104000
767,121200
768,106700
769,101600
770,104400
771,105700
772,107200
773,105800
774,109000
775,105300
776,108700
777,104900
778,145300
779,106600
780,106800
781,103700
782,101200
783,107100
784,102300
785,103900
786,104500
787,110600
788,105200
789,105200
790,106800
791,107500
792,104100
793,108100
794,106600
795,106700
796,102000
797,108100
798,109300
799,108100
800,104100
801,123700
802,108700
803,107700
804,110100
805,108000
806,108800
807,106800
808,109100
809,105400
810,109000
811,106600
812,122800
813,103200
814,102600
815,106300
816,107100
817,108000
818,111200
819,110300
820,110300
821,108900
822,109700
823,109500
824,108700
825,109700
826,114600
827,108900
828,109200
829,125700
830,106200
831,106500
832,110900
833,107700
834,108600
835,123900
836,111400
837,111200
838,111900
839,109100
840,106500
841,109600
842,108600
843,108000
844,111700
845,111100
846,121400
847,107500
848,108600
849,111300
850,110100
851,110100
852,106600
853,112000
854,109100
855,106400
856,141100
857,141900
858,158500
859,139700
860,111100
861,108800
862,110300
863,107800
864,109500
865,110700
866,118800
867,109100
868,107400
869,122400
870,109400
871,109100
872,107500
873,110500
