|E|,Time_elapsed_GM(ns),Time_elapsed_GA(ns)
100,174900,169900
101,173400,173000
102,176200,176100
103,179100,180600
104,181700,182300
105,186200,185000
106,193100,194800
107,192500,191200
108,198300,196800
109,200000,200400
110,202500,200700
111,209500,212400
112,208100,206800
113,216600,209400
114,218500,216100
115,224400,220400
116,226800,224300
117,229900,227700
118,236800,226600
119,239500,237500
120,238300,234300
121,246200,243300
122,248200,241000
123,255400,242700
124,265600,246900
125,262300,250900
126,264100,264600
127,266700,261100
128,269100,265700
129,273900,266700
130,284100,277500
131,285200,281300
132,299000,274800
133,293000,282500
134,296000,295200
135,301900,290300
136,305500,302900
137,309400,295000
138,312900,313100
139,321000,306400
140,321100,316000
141,411700,313300
142,340300,310000
143,338300,359700
144,343600,326800
145,341900,335700
146,345500,350900
147,348100,348000
148,354900,339400
149,358600,406000
150,359400,362300
151,371600,357200
152,378300,349700
153,374800,364300
154,381700,378400
155,391700,379100
156,393100,382000
157,396100,383500
158,401100,391700
159,411200,392700
160,445800,390100
161,417800,393200
162,419300,418200
163,426900,417900
164,430100,403800
165,436600,424500
166,439600,417600
167,443700,445900
168,450500,427700
169,459500,531100
170,467300,445500
171,464700,450400
172,558200,452900
173,477200,463500
174,480600,455900
175,490100,467500
176,489200,458600
177,500700,473500
178,512900,483300
179,514400,488100
180,528500,517400
181,526700,503800
182,523500,503800
183,536500,513400
184,534800,521300
185,559000,530900
186,551900,525500
187,560600,538500
188,559300,550500
189,695800,536000
190,571300,619600
191,578600,547800
192,575100,567700
193,578500,561700
194,583200,562400
195,595000,571100
196,596500,574100
197,604500,585200
198,610700,575900
199,616100,610600
200,671400,612600
201,642200,705900
202,644100,614100
203,640500,639700
204,643300,627600
205,652300,629400
206,660700,632200
207,665400,643400
208,680100,665700
209,679100,664700
210,682900,662700
211,690400,661300
212,790300,664200
213,712500,775000
214,808200,681300
215,879600,689000
216,724400,681300
217,726300,697700
218,732800,678200
219,744500,719700
220,742800,723700
221,757400,732400
222,758200,719100
223,766200,738700
224,799000,751300
225,784200,742000
226,788500,738500
227,795800,762700
228,801400,857700
229,815400,794600
230,821500,798000
231,821600,771900
232,828500,797800
233,839400,908600
234,839800,826300
235,848800,813600
236,859600,814700
237,884000,828200
238,879500,840700
239,885700,827500
240,888100,855200
241,898800,846100
242,908700,886700
243,906100,857700
244,917600,876700
245,919100,888300
246,930400,901300
247,944200,919200
248,945700,888000
249,955100,935600
250,959400,917000
251,968000,1054000
252,973300,1015000
253,981300,929800
254,984900,945100
255,1002300,934000
256,1015100,965900
257,1016800,976100
258,1032500,1249700
259,1032500,1017100
260,1136700,1003800
261,1052100,1007400
262,1063300,1007200
263,1074100,1226600
264,1074100,1014500
265,1077900,1017400
266,1183300,1058900
267,1187800,1065800
268,1110700,1048500
269,1121700,1100800
270,1125900,1049800
271,1139800,1083300
272,1140200,1089200
273,1154800,1129700
274,1147500,1085700
275,1148900,1168700
276,1157300,1125400
277,1170600,1170500
278,1175500,1135200
279,1191000,1214200
280,1192500,1160600
281,1200500,1167700
282,1230300,1160800
283,1228500,1303400
284,1243800,1218100
285,1400100,1237200
286,1249900,1363000
287,1260300,1374900
288,1267800,1219800
289,1280800,1280500
290,1283600,1253200
291,1293300,1299500
292,1295100,1314000
293,1330200,1245600
294,1305400,1388400
295,1316600,1291900
296,1318300,1253700
297,1332200,1276300
298,1404300,1324200
299,1351100,1310300
300,1355200,1329300
301,1374700,1328500
302,1377400,1371500
303,1395700,1341300
304,1400700,1413600
305,1408600,1369800
306,1414200,1463800
307,1426000,1369400
308,1430500,1398200
309,1437100,1359700
310,1526100,1391000
311,1452600,1397200
312,1477700,1495400
313,1486700,1432000
314,1493100,1522000
315,1495300,1459900
316,1505500,1452200
317,1532400,1472600
318,1514400,1598900
319,1538100,1464900
320,1550100,1621200
321,1587100,1510100
322,1569800,1563700
323,1579100,1807800
324,1589100,1555300
325,1597200,1532100
326,1612500,1576000
327,1610700,1567100
328,1626700,1573800
329,1649800,1573300
330,1651500,1601000
331,1651800,1813200
332,1664600,1619700
333,1688800,1615600
334,1689000,1676900
335,1704000,1652600
336,1721400,1632300
337,1727000,1653800
338,1710600,1652600
339,1731700,1735500
340,1749400,1700300
341,1763600,1707000
342,1755900,1694700
343,1961500,1739600
344,1883300,1688900
345,2048300,1734800
346,1788600,1778500
347,1803500,1739600
348,1840500,1776600
349,1819000,1837900
350,1824700,1777300
351,1838100,1777200
352,1872300,1907900
353,1856100,1898600
354,2090900,1897900
355,1868500,1838400
356,1893500,1860600
357,1894100,1886400
358,1922200,1853500
359,1987900,1903800
360,1929200,1890500
361,1952600,1888800
362,1955500,1903500
363,1961300,1887400
364,1974100,1925700
365,1985500,1957300
366,2018500,1961900
367,2013000,1982300
368,2023800,1958500
369,2023300,1967700
370,2053600,1958000
371,2065300,2024200
372,2153300,2045600
373,2077800,2022100
374,2409500,2012800
375,2074600,2037800
376,2106100,2067300
377,2117500,2046900
378,2124000,2093500
379,2134500,2184800
380,2157300,2183300
381,2231200,2122500
382,2236500,2106500
383,2170700,2124000
384,2179900,2132300
385,2232100,2266700
386,2230000,2251700
387,2240100,2151800
388,2242300,2125500
389,2258100,2197200
390,2260100,2220600
391,2300500,2188700
392,2290100,2281200
393,2290100,2371300
394,2314600,2266700
395,2309700,2211300
396,2330800,2275900
397,2339600,2365500
398,2563000,2233600
399,2365700,2313400
400,2369400,2350800
401,2387000,2350500
402,2397400,2372600
403,2399400,2368900
404,2421800,2348700
405,2654600,2343100
406,2438200,2341100
407,2447200,2386500
408,2459800,2459300
409,2666000,2391400
410,2546200,2462000
411,2497600,2524100
412,2511400,2504600
413,2550400,2490000
414,2534800,2506700
415,2544600,2508900
416,2561100,2535000
417,2650300,2573900
418,2719500,2534100
419,2677100,2527400
420,2706900,2550100
421,2624900,2623100
422,2803800,2598700
423,2648200,2590800
424,2654000,2680000
425,2646700,2567000
426,2669100,2611000
427,2700500,2690700
428,2768100,2745700
429,2713500,2713400
430,2747500,2674500
431,2726900,2699600
432,2745300,2678700
433,2793000,2708300
434,2778400,2697100
435,2783100,2744600
436,2832800,2789400
437,2818400,2778500
438,2838600,2780400
439,2853200,2819300
440,2895000,2803400
441,2865300,2863500
442,2883200,2840300
443,2897900,2865100
444,2911200,2869000
445,3004000,2879600
446,2912400,2884500
447,3108300,2888600
448,2955900,2977000
449,2969600,2928600
450,3054800,2868700
451,2992000,2941400
452,3007900,2981600
453,3050600,3048100
454,3040500,2955500
455,3083600,3043200
456,3062300,3045200
457,3104000,3094700
458,3107500,3104500
459,3253500,3057400
460,3448700,3084800
461,3096900,3117700
462,3350200,3093800
463,3358300,3137400
464,3450700,3150800
465,3209400,3166300
466,3230700,3216500
467,3212800,3410200
468,3339400,3161700
469,3372500,3216000
470,3254900,3190500
471,3377000,3237500
472,3383100,3249400
473,3354200,3266300
474,3562900,3262100
475,3517500,3480500
476,3710000,3248700
477,3344000,3279800
478,3656900,3335600
479,3391600,3329100
480,3590200,3286500
481,3970400,3346500
482,3445700,3311400
483,3429300,3352400
484,3424600,3440600
485,3458400,3389400
486,3465800,3441100
487,3479300,3414600
488,3492700,3448100
489,3649100,3591400
490,3581600,3484700
491,3591600,3510300
492,3641600,3505700
493,3633200,3563200
494,3628300,3625800
495,3622200,3573800
496,3639400,3665000
497,3634100,3634400
498,3679800,3687400
499,3630000,3844000
500,3660300,3654100
