|V|,Time_elapsed(ns)
200,449300
201,481200
202,468200
203,454800
204,450000
205,459600
206,457800
207,458300
208,462600
209,467500
210,469500
211,475200
212,484400
213,484800
214,483000
215,490100
216,493200
217,492500
218,494500
219,501100
220,497700
221,501300
222,502500
223,523500
224,513700
225,512700
226,514400
227,515500
228,528700
229,522600
230,528900
231,531300
232,570500
233,535900
234,539500
235,543000
236,544300
237,546600
238,557900
239,555900
240,563600
241,681800
242,563200
243,567200
244,577800
245,569700
246,577900
247,588600
248,581400
249,583700
250,590300
251,592700
252,596100
253,595900
254,600700
255,605100
256,611000
257,618100
258,750300
259,624400
260,627700
261,644300
262,628100
263,634900
264,647800
265,643300
266,648700
267,675000
268,650600
269,652500
270,691300
271,672000
272,665500
273,709700
274,677800
275,678000
276,701500
277,690900
278,702700
279,697500
280,702900
281,704500
282,706200
283,709500
284,712600
285,731700
286,735000
287,727600
288,726100
289,734600
290,731500
291,769100
292,744900
293,741800
294,776200
295,753100
296,759600
297,795500
298,777600
299,770700
300,804800
301,781700
302,780700
303,783300
304,791400
305,795400
306,807300
307,806700
308,806300
309,807900
310,825900
311,853700
312,819000
313,837200
314,867500
315,837000
316,839900
317,842900
318,844500
319,856700
320,856700
321,858800
322,893200
323,867400
324,870200
325,873700
326,879100
327,885600
328,896500
329,891100
330,984300
331,898100
332,900500
333,908000
334,904700
335,910100
336,913800
337,916600
338,912300
339,922200
340,921200
341,991800
342,930000
343,945300
344,946400
345,950400
346,957000
347,961500
348,1003100
349,970100
350,976300
351,980500
352,982400
353,987700
354,989300
355,1147000
356,1003000
357,1003400
358,1005100
359,1023900
360,1020800
361,1020500
362,1043200
363,1124500
364,1039600
365,1043900
366,1060300
367,1126900
368,1058800
369,1063100
370,1160900
371,1075900
372,1074500
373,1086600
374,1093200
375,1187900
376,1102900
377,1102100
378,1109800
379,1115400
380,1171000
381,1123700
382,1221600
383,1133900
384,1138700
385,1207100
386,1170600
387,1152500
388,1157300
389,1264100
390,1170000
391,1170400
392,1302000
393,1186800
394,1182100
395,1185400
396,1179200
397,1185200
398,1218800
399,1209900
400,1218200
401,1213400
402,1225500
403,1229000
404,1260300
405,1276600
406,1250200
407,1290700
408,1259600
409,1293100
410,1437400
411,1270700
412,1273100
413,1260100
414,1276300
415,1282400
416,1301400
417,1288600
418,1298800
419,1306800
420,1314700
421,1447500
422,1405800
423,1334700
424,1325700
425,1341300
426,1343000
427,1672300
428,1356600
429,1350600
430,1363600
431,1368000
432,1487900
433,1384400
434,1385400
435,1392100
436,1399000
437,1407700
438,1571400
439,1430300
440,1435700
441,1460100
442,1439300
443,1568100
444,1445600
445,1455700
446,1454600
447,1457200
448,1617900
449,1475900
450,1473100
451,1470600
452,1476000
453,1523400
454,1589400
455,1515700
456,1596200
457,1517700
458,1632600
459,1529700
460,1632600
461,1548000
462,1638800
463,1562000
464,1772800
465,1558700
466,1552500
467,1559700
468,1569100
469,1585500
470,1588300
471,1595500
472,1600500
473,1614500
474,1619700
475,1620000
476,1625300
477,1631700
478,1645400
479,1681700
480,1647100
481,1656800
482,1665800
483,1668700
484,1687400
485,1678700
486,1694300
487,1689100
488,1698900
489,1704900
490,1716100
491,1724500
492,1716600
493,1823000
494,1904000
495,1741900
496,1742600
497,1751700
498,1780000
499,1765500
500,1777800
501,1791900
502,1792700
503,1833600
504,1811900
505,1794800
506,1907400
507,1847800
508,1917900
509,1837800
510,1862600
511,1935100
512,1862800
513,1954700
514,1871300
515,1879300
516,2085300
517,1896400
518,1894600
519,1894100
520,1890400
521,1913000
522,1922800
523,1927000
524,1928700
525,2095000
526,1951700
527,1951100
528,1953200
529,1963300
530,2131000
531,1984000
532,1986700
533,2087900
534,2017800
535,2112400
536,2016300
537,2032700
538,2119200
539,2046100
540,2085800
541,2058400
542,2094500
543,2104900
544,2074400
545,2085400
546,2121500
547,2219800
548,2085100
549,2088800
550,2095400
551,2246500
552,2112100
553,2123000
554,2139100
555,2362200
556,2165400
557,2233700
558,2159000
559,2481300
560,2177600
561,2165300
562,2176500
563,2373900
564,2200700
565,2211200
566,2219500
567,2260000
568,2236200
569,2240900
570,2259800
571,2270100
572,2264200
573,2266100
574,2286700
575,2286000
576,2292600
577,2297000
578,2319300
579,2314000
580,2308900
581,2331300
582,2348400
583,2364100
584,2352000
585,2347900
586,2375100
587,2405400
588,2381800
589,2392300
590,2408000
591,2411700
592,2412200
593,2418600
594,2431400
595,2459300
596,2479800
597,2432800
598,2475100
599,2492100
600,2484500
601,2475700
602,2717100
603,2485600
604,2461000
605,2478000
606,2635800
607,2517400
608,2517800
609,2563200
610,2553900
611,2549200
612,2562000
613,2571200
614,2578200
615,2583000
616,2594100
617,2601100
618,2614400
619,2618100
620,2692900
621,2636200
622,2646100
623,2645500
624,2661500
625,2665200
626,2669200
627,2688400
628,2671400
629,2759100
630,2696000
631,2790800
632,2750800
633,2809800
634,2853800
635,2766800
636,2711400
637,2734500
638,2926000
639,2740100
640,2767400
641,2874600
642,2876200
643,2790100
644,2798400
645,2906300
646,2930700
647,2857000
648,2894000
649,2858100
650,3079900
651,3014400
652,2998600
653,2908200
654,2924800
655,2936100
656,3014800
657,3033900
658,3066500
659,3020700
660,2955600
661,3198000
662,3066700
663,2984500
664,2988100
665,2981600
666,2992100
667,2993500
668,3249200
669,3003700
670,3025000
671,3044700
672,3041600
673,3045500
674,3102000
675,3068000
676,3065000
677,3097600
678,3120200
679,3113400
680,3121500
681,3127900
682,3144700
683,3250800
684,3241000
685,3271700
686,3271300
687,3188600
688,3182500
689,3204700
690,3241800
691,3243900
692,3257600
693,3260100
694,3266100
695,3273300
696,3298100
697,3271800
698,3286100
699,3260900
700,3236700
701,3269100
702,3389700
703,3377600
704,3399400
705,3333900
706,3327800
707,3366800
708,3367200
709,3364900
710,3694800
711,3350700
712,3344800
713,3587200
714,3372100
715,3383600
716,3438200
717,3408300
718,3425600
719,3454000
720,3428000
721,3465800
722,3655400
723,3466200
724,3487100
725,3993700
726,3489100
727,3508300
728,3517000
729,3536700
730,3574600
731,3534900
732,3538100
733,3574300
734,3580000
735,3661100
736,3661600
737,3641500
738,3655500
739,3870500
740,3599900
741,3610500
742,3637700
743,3635100
744,3667900
745,3692700
746,3672800
747,3702200
748,3713800
749,3712500
750,3945700
751,3715300
752,3734100
753,3800400
754,3730600
755,3856400
756,3863200
757,3903500
758,3897400
759,3891200
760,3923800
761,3927800
762,3932000
763,3944300
764,3961300
765,3962800
766,4116700
767,3990800
768,3980600
769,4151400
770,3869000
771,3871600
772,4119300
773,3910600
774,4144600
775,3927400
776,3957800
777,3978200
778,3996000
779,3988400
780,4000600
781,4004100
782,4231500
783,4095800
784,4128200
785,4155800
786,4161300
787,4300900
788,4078700
789,4095800
790,4105700
791,4123800
792,4145500
