|E|,Time_elapsed(ns)
99,105800
100,104100
101,106900
102,90100
103,84800
104,85300
105,84300
106,84900
107,86000
108,85000
109,85100
110,88100
111,85800
112,84600
113,84700
114,85700
115,85700
116,85500
117,107300
118,107400
119,106700
120,106900
121,85400
122,86500
123,85600
124,86400
125,85100
126,86000
127,85400
128,86400
129,85800
130,85400
131,86300
132,85700
133,86100
134,86800
135,85700
136,85800
137,85300
138,84000
139,85600
140,84400
141,86400
142,86100
143,87600
144,86500
145,85600
146,85700
147,86800
148,85600
149,86600
150,86600
151,86200
152,85800
153,86200
154,87800
155,86800
156,87000
157,86300
158,86000
159,87300
160,86900
161,96500
162,88300
163,90600
164,87900
165,87500
166,87900
167,87600
168,87300
169,88100
170,88100
171,88100
172,88100
173,87800
174,87400
175,88300
176,87900
177,87800
178,87200
179,88300
180,88200
181,86400
182,88400
183,87500
184,89000
185,90900
186,88400
187,90100
188,89100
189,88500
190,88100
191,90200
192,90200
193,90100
194,89700
195,88800
196,89200
197,98300
198,89000
199,88900
200,89300
201,89000
202,90500
203,92000
204,89300
205,89600
206,90600
207,90000
208,89300
209,90500
210,89700
211,89700
212,91200
213,89700
214,91300
215,91400
216,91600
217,90700
218,88900
219,91800
220,91900
221,90000
222,90100
223,89400
224,90300
225,89400
226,90200
227,90900
228,91100
229,92200
230,90600
231,90300
232,92800
233,91800
234,91600
235,91300
236,91500
237,90600
238,91000
239,91100
240,91500
241,91500
242,91300
243,90900
244,93100
245,90800
246,90800
247,92400
248,92600
249,93400
250,91800
251,93800
252,92800
253,99500
254,92700
255,92000
256,93500
257,91000
258,92700
259,93000
260,92200
261,91400
262,93000
263,93100
264,92800
265,93700
266,91900
267,92500
268,94500
269,93200
270,93000
271,93500
272,92800
273,92700
274,93400
275,94000
276,93100
277,93600
278,93300
279,92700
280,93000
281,93700
282,92800
283,93800
284,94200
285,94900
286,93800
287,92800
288,92600
289,95000
290,94000
291,95700
292,94900
293,95200
294,94200
295,92800
296,94700
297,94800
298,93800
299,95700
300,94800
301,94900
302,95200
303,96800
304,95300
305,93900
306,96400
307,94800
308,96400
309,95500
310,94300
311,94400
312,96500
313,96300
314,93800
315,93600
316,95500
317,95900
318,95900
319,96300
320,94700
321,96200
322,97400
323,94700
324,95400
325,96000
326,96000
327,95800
328,95300
329,95900
330,96500
331,99700
332,95200
333,95600
334,118900
335,97600
336,96900
337,96200
338,98300
339,96000
340,95600
341,94800
342,96000
343,97000
344,98200
345,97100
346,95900
347,97000
348,96600
349,96000
350,97400
351,97800
352,98100
353,107500
354,95500
355,96800
356,96000
357,97300
358,96800
359,96200
360,96800
361,98900
362,96700
363,96100
364,95500
365,98200
366,98900
367,99500
368,97100
369,100500
370,98200
371,97100
372,97800
373,97500
374,99700
375,97000
376,101800
377,98400
378,99200
379,98100
380,98100
381,98200
382,99700
383,102300
384,100000
385,98900
386,97600
387,98000
388,101400
389,98700
390,98100
391,96800
392,98100
393,99000
394,99500
395,98100
396,98700
397,101100
398,101000
399,98800
400,99500
401,100400
402,99700
403,100100
404,101800
405,102000
406,102700
407,98700
408,128400
409,127700
410,100900
411,101200
412,101200
413,100000
414,98600
415,102300
416,100900
417,99200
418,99500
419,97800
420,100000
421,98500
422,101300
423,102300
424,98300
425,98800
426,190900
427,99600
428,100700
429,97700
430,101100
431,99600
432,99900
433,98900
434,102400
435,99000
436,100000
437,101600
438,103200
439,99800
440,100200
441,102900
442,103700
443,99100
444,102400
445,101500
446,100600
447,99600
448,100300
449,99300
450,101700
451,101200
452,99500
453,102900
454,101400
455,101500
456,101000
457,101900
458,99800
459,103100
460,100000
461,100600
462,99000
463,102100
464,103200
465,100700
466,99900
467,102800
468,101900
469,101600
470,104500
471,101500
472,103600
473,101300
474,108200
475,98700
476,194800
477,100900
478,101900
479,104400
480,104200
481,101200
482,105200
483,102700
484,105300
485,100200
486,102000
487,102200
488,104800
489,100500
490,100800
491,100700
492,101400
493,102300
494,102300
495,106700
496,100600
497,102100
498,103500
499,105600
500,190400
501,103300
502,103500
503,103700
504,106400
505,104200
506,107600
507,103100
508,105300
509,103400
510,101500
511,107100
512,103600
513,106600
514,108000
515,106100
516,102100
517,102100
518,104100
519,106800
520,102800
521,104900
522,107100
523,105400
524,106300
525,102100
526,109300
527,104400
528,106000
529,105000
530,107100
531,105200
532,102800
533,103600
534,108100
535,101200
536,103800
537,106100
538,107500
539,103600
540,117100
541,108600
542,108600
543,107000
544,106800
545,104600
546,107900
547,108000
548,107500
549,105000
550,108900
551,106400
552,107700
553,109000
554,108300
555,107000
556,105400
557,109100
558,104500
559,108700
560,104300
561,109000
562,109300
563,107600
564,106700
565,106900
566,110200
567,105700
568,104100
569,196700
570,108900
571,109600
572,109300
573,106200
574,105800
575,108500
576,108400
577,106200
578,110400
579,106200
580,111000
581,107800
582,109200
583,107200
584,106400
585,106200
586,106200
587,154600
588,104500
589,109800
590,107700
591,109600
592,104900
593,108800
594,110200
595,110100
596,109400
597,108900
598,107100
599,110500
600,110400
601,110000
602,111000
603,106900
604,110700
605,112700
606,106800
607,106100
608,112300
609,111500
610,111700
611,105800
612,196600
613,108100
614,109900
615,107400
616,108700
617,112000
618,110200
619,111500
620,106800
621,111800
622,107700
623,111200
624,112000
625,106900
626,108200
627,109900
628,113500
629,111400
630,110600
631,106300
632,108300
633,108900
634,112500
635,106900
636,113200
637,112100
638,113500
639,108100
640,106900
641,107700
642,112700
643,114000
644,113800
645,112100
646,112800
647,113200
648,113100
649,110900
650,117100
651,111800
652,108600
653,202600
654,108000
655,113500
656,107700
657,110500
658,111900
659,111200
660,110500
661,107800
662,109000
663,115600
664,113300
665,114500
666,109600
667,239000
668,113900
669,113000
670,108800
671,109400
672,108300
673,199900
674,111600
675,113700
676,116500
677,111700
678,111900
679,109000
680,109100
681,113000
682,114100
683,115300
684,114100
685,111500
686,109900
687,114400
688,113400
689,112900
690,114500
691,116500
692,110500
693,117900
694,114200
695,109000
696,110400
697,114100
698,115300
699,114000
700,115300
701,108900
702,115500
703,115800
704,109500
705,114900
706,114700
707,113300
708,116300
709,116300
710,117000
711,112100
712,114100
713,112300
714,114500
715,119900
716,111400
717,114300
718,115200
719,116100
720,115300
721,117200
722,117700
723,115800
724,111000
725,115900
726,114600
727,116000
728,118100
729,117700
730,115000
731,118500
732,111800
733,112100
734,118400
735,111800
736,114900
737,111500
738,118600
739,118000
740,118400
741,115100
742,116400
743,116700
744,116900
745,110300
746,111000
747,112900
748,116300
749,117200
750,117000
751,119400
752,115300
753,122600
754,117700
755,116100
756,117200
757,118100
758,112800
759,116400
760,115000
761,115800
762,112300
763,117500
764,112000
765,118800
766,117000
767,119200
768,118200
769,120000
770,118500
771,120900
772,113200
